evaluator_code,story_id,topic,pre_novel,pre_original,pre_rare,pre_appropriate,pre_feasible,pre_publishable,pre_profit,pre_tt_enjoyed,pre_tt_badly_written,pre_tt_boring,pre_tt_funny,pre_tt_twist,pre_tt_future,post_ai_usage,post_ai_assist,post_authors_ideas,post_ownership,post_profit,condition,ai_used_actual
tc3hh27n,041b6010-3f4a-4658-a428-5ebfdcce67b1,an adventure in the jungle,2.0,2.0,2.0,5.0,3.0,1.0,50,2.0,2.0,2.0,1.0,5.0,1.0,1.0,100,3.0,3.0,100,human_1AI,1.0
mue6atm8,9807e780-e71d-4f74-80a8-fbe609e79bd7,an adventure on a different planet,7.0,6.0,6.0,7.0,7.0,5.0,50,5.0,7.0,4.0,1.0,4.0,4.0,0.0,66,9.0,9.0,0,human,0.0
3bj06sl8,675e98ce-b3a2-47da-aab7-1dca842f3efa,an adventure on a different planet,5.0,5.0,4.0,7.0,5.0,5.0,50,6.0,4.0,6.0,2.0,5.0,5.0,0.0,75,7.0,7.0,0,human_1AI,0.0
35tjqp0z,fc178c9a-f8b7-4c81-85f6-1e12b56d60bc,an adventure on a different planet,9.0,5.0,3.0,5.0,6.0,6.0,50,4.0,5.0,7.0,1.0,1.0,2.0,0.0,30,9.0,9.0,0,human,0.0
mrfb0o5k,a0e70cc9-d661-4237-ab6e-692c99397d06,an adventure on the open seas,3.0,3.0,2.0,6.0,4.0,4.0,50,5.0,3.0,4.0,2.0,5.0,4.0,2.0,50,7.0,6.0,60,human_5AI,0.0
akyujfsa,ca42e827-d57f-45f9-ac97-5d943f02dc05,an adventure on a different planet,6.0,6.0,6.0,8.0,6.0,5.0,50,5.0,5.0,7.0,4.0,6.0,7.0,0.0,66,6.0,6.0,0,human,0.0
vjtgs23b,e4c02406-fa7c-46e9-9c59-870be139319d,an adventure on the open seas,2.0,2.0,2.0,5.0,2.0,2.0,50,1.0,2.0,7.0,1.0,1.0,1.0,0.0,75,9.0,9.0,0,human_1AI,0.0
nwyg3hg7,e2e71da9-b9ae-4988-a96b-ec2cb9b0382d,an adventure in the jungle,4.0,4.0,4.0,5.0,6.0,5.0,50,5.0,3.0,3.0,1.0,6.0,5.0,1.0,65,5.0,6.0,75,human_5AI,1.0
1ukgn5ed,e03c09dd-b93b-4353-9be8-54cb6bf32f6a,an adventure on the open seas,6.0,6.0,6.0,7.0,7.0,6.0,50,6.0,7.0,3.0,3.0,7.0,5.0,1.0,74,2.0,2.0,50,human_5AI,1.0
70trlqf1,0304c9c9-a778-424e-b38f-ff3690160003,an adventure in the jungle,1.0,1.0,1.0,5.0,7.0,8.0,50,2.0,1.0,7.0,1.0,7.0,5.0,1.0,100,4.0,5.0,100,human_1AI,1.0
vcylctfc,722c95e5-f767-4697-8858-fdfbecdc70b0,an adventure on a different planet,2.0,1.0,2.0,7.0,8.0,7.0,50,6.0,6.0,4.0,5.0,3.0,2.0,0.0,75,9.0,9.0,0,human,0.0
8jue4p2n,f48acf07-0c7a-464e-b42d-7c477cb24782,an adventure on the open seas,4.0,3.0,4.0,6.0,5.0,5.0,50,2.0,1.0,6.0,1.0,3.0,1.0,1.0,25,3.0,4.0,50,human_1AI,0.0
pr6pr1n0,00ee16f1-5185-4b84-9c29-5907cc9d5fc7,an adventure on a different planet,6.0,6.0,6.0,7.0,9.0,9.0,50,7.0,8.0,4.0,1.0,6.0,1.0,1.0,100,5.0,9.0,100,human_5AI,1.0
rdsmhbk8,90d2d339-33ae-4578-b5ce-d1be4955b74e,an adventure in the jungle,7.0,6.0,8.0,8.0,7.0,5.0,50,7.0,5.0,2.0,7.0,8.0,1.0,2.0,5,2.0,6.0,95,human_1AI,0.0
vjesfyak,a9950797-cc6f-468a-acfd-cb6f4d9fe4b9,an adventure on a different planet,2.0,2.0,2.0,7.0,5.0,3.0,50,7.0,6.0,5.0,2.0,2.0,6.0,2.0,25,3.0,4.0,25,human_1AI,0.0
td5gcrhm,94e2dbef-ba04-4efb-ad39-41260d0247bd,an adventure in the jungle,3.0,3.0,3.0,5.0,4.0,4.0,50,2.0,2.0,2.0,1.0,2.0,2.0,1.0,85,8.0,8.0,36,human_5AI,1.0
a9ebe0mc,ba492bdd-2caa-4147-9af8-b10a96a28355,an adventure on the open seas,2.0,3.0,1.0,4.0,3.0,3.0,50,5.0,5.0,5.0,1.0,1.0,1.0,0.0,39,4.0,4.0,0,human,0.0
31p68g3v,3e150849-a7a9-4c64-be45-0134d9afd6fa,an adventure on a different planet,6.0,6.0,4.0,8.0,7.0,7.0,50,7.0,7.0,1.0,1.0,9.0,3.0,1.0,75,2.0,1.0,10,human_1AI,1.0
2pytliij,631fc202-bbb7-401a-9357-274c10346008,an adventure in the jungle,5.0,5.0,4.0,6.0,5.0,5.0,50,5.0,5.0,4.0,3.0,5.0,4.0,1.0,71,4.0,4.0,46,human_5AI,1.0
81fxgj6x,cded67c3-e143-4642-be01-b3258b1fa133,an adventure on a different planet,5.0,4.0,3.0,6.0,5.0,4.0,50,5.0,6.0,3.0,1.0,5.0,4.0,1.0,25,3.0,2.0,25,human_1AI,1.0
9fl2tsy4,6cbf2b7d-7cd4-45fc-8f3e-16eabb967134,an adventure in the jungle,3.0,2.0,2.0,5.0,6.0,6.0,50,5.0,5.0,5.0,3.0,4.0,1.0,1.0,75,7.0,8.0,100,human_1AI,1.0
vjlplqv7,7542a792-567b-4b17-be59-ea2a797b9ce0,an adventure on a different planet,2.0,2.0,2.0,6.0,4.0,9.0,50,3.0,3.0,5.0,1.0,6.0,1.0,1.0,50,5.0,6.0,100,human_5AI,1.0
dlp4we39,4e7be9c4-68b8-4df0-8cb5-ed81a9b59e5d,an adventure on a different planet,5.0,5.0,4.0,5.0,1.0,1.0,50,1.0,1.0,5.0,1.0,1.0,5.0,0.0,0,8.0,8.0,0,human,0.0
qd24e6q3,8c492e79-5331-4a8a-b891-91bce6a361bb,an adventure on a different planet,5.0,9.0,6.0,9.0,9.0,8.0,50,9.0,8.0,4.0,5.0,6.0,3.0,0.0,75,9.0,9.0,0,human,0.0
np8pqoe5,c6bc5ab0-7b03-45e5-8d64-2cc554967f75,an adventure in the jungle,5.0,4.0,4.0,6.0,7.0,6.0,50,7.0,6.0,4.0,1.0,4.0,1.0,1.0,10,7.0,7.0,75,human_1AI,1.0
67dpy2sa,a68a83bf-cef8-4c7b-975a-60a3ee6352af,an adventure in the jungle,3.0,2.0,1.0,4.0,2.0,2.0,50,8.0,6.0,2.0,1.0,2.0,2.0,2.0,79,8.0,7.0,51,human_1AI,0.0
y829diax,594f14e8-be52-438e-bae8-e1a7d2585951,an adventure in the jungle,6.0,5.0,4.0,4.0,5.0,6.0,50,7.0,6.0,5.0,1.0,7.0,3.0,0.0,10,8.0,9.0,0,human,0.0
yqmsqfs6,392d38b8-ac42-421a-a78a-a252b72d8b8f,an adventure on the open seas,2.0,2.0,2.0,7.0,5.0,3.0,50,2.0,2.0,8.0,1.0,2.0,2.0,1.0,0,4.0,4.0,100,human_1AI,1.0
qfb6jcwe,a2d70f55-973a-4fcf-9649-233064d41830,an adventure on the open seas,2.0,2.0,2.0,2.0,2.0,2.0,50,2.0,2.0,5.0,3.0,2.0,3.0,1.0,33,5.0,5.0,51,human_5AI,1.0
lgxb6b2i,01d340cd-bcca-4ef8-bd36-91c2a951b21f,an adventure on a different planet,1.0,1.0,1.0,2.0,1.0,1.0,50,3.0,1.0,7.0,1.0,1.0,2.0,1.0,2,2.0,2.0,25,human_5AI,1.0
jpcm9d4w,4e07145a-a82a-43f3-a848-39819e97dd62,an adventure in the jungle,6.0,7.0,6.0,4.0,7.0,5.0,50,8.0,8.0,1.0,1.0,7.0,1.0,1.0,31,5.0,7.0,90,human_1AI,1.0
pk1taj6y,0a711253-bdc8-4020-ae33-b658d33292ff,an adventure on the open seas,3.0,3.0,1.0,6.0,3.0,3.0,50,5.0,7.0,6.0,1.0,1.0,1.0,1.0,60,1.0,9.0,100,human_1AI,1.0
m2inoi5x,6b6d97bc-5b30-4643-a572-f4ff2e2ec973,an adventure in the jungle,1.0,1.0,1.0,8.0,5.0,5.0,50,2.0,7.0,9.0,1.0,1.0,1.0,2.0,100,2.0,2.0,5,human_5AI,0.0
zllelqjh,7dcc5bbc-7c73-4c85-9453-4bbde2ccd115,an adventure in the jungle,6.0,5.0,4.0,3.0,7.0,5.0,50,6.0,3.0,2.0,1.0,4.0,5.0,0.0,75,7.0,8.0,0,human,0.0
a59rs0qy,3a9e5a23-f1ea-430b-a934-62ee3e724008,an adventure on a different planet,3.0,3.0,3.0,1.0,2.0,2.0,50,3.0,5.0,6.0,1.0,3.0,3.0,1.0,23,3.0,3.0,50,human_5AI,1.0
w5shd0jr,74212755-8bb3-4753-97cc-2c5d79bc918a,an adventure in the jungle,2.0,2.0,2.0,9.0,1.0,1.0,50,5.0,6.0,3.0,2.0,1.0,1.0,0.0,42,7.0,9.0,0,human_1AI,0.0
as98853u,e73ff8dc-fe1d-4543-8548-131cfbb1e30a,an adventure in the jungle,6.0,7.0,5.0,6.0,3.0,2.0,50,5.0,3.0,7.0,4.0,6.0,4.0,0.0,65,6.0,8.0,0,human,0.0
rj6wevo0,927090d6-261c-47ed-87d1-6f1af46168f4,an adventure on the open seas,4.0,4.0,4.0,6.0,6.0,7.0,50,4.0,6.0,2.0,1.0,2.0,2.0,0.0,25,9.0,9.0,0,human,0.0
z601e6ue,cdfdbcd2-e24f-4833-b950-18330c544d55,an adventure on the open seas,2.0,2.0,1.0,9.0,4.0,3.0,50,2.0,1.0,7.0,1.0,1.0,1.0,1.0,55,6.0,8.0,5,human_5AI,1.0
7gh4tmxd,0700e775-44f7-47b9-aec5-078516a9032c,an adventure on a different planet,8.0,8.0,7.0,8.0,7.0,7.0,50,8.0,8.0,2.0,5.0,6.0,8.0,0.0,58,7.0,6.0,0,human,0.0
6pqui26u,0c4b080a-4850-42f3-99fe-a8b386bc318e,an adventure on a different planet,6.0,5.0,5.0,8.0,7.0,6.0,50,7.0,9.0,3.0,1.0,2.0,2.0,0.0,93,9.0,4.0,0,human,0.0
r88s2ywx,ef13676d-0522-4e9e-8d60-cd21a5d12b8d,an adventure in the jungle,1.0,1.0,1.0,1.0,1.0,1.0,50,2.0,2.0,7.0,1.0,1.0,3.0,2.0,0,6.0,6.0,100,human_1AI,0.0
ea6x3u60,195ced3e-9ef0-40de-b7fc-1fb567cfe1be,an adventure in the jungle,1.0,1.0,1.0,1.0,1.0,1.0,50,1.0,1.0,9.0,1.0,1.0,1.0,1.0,0,3.0,9.0,100,human_1AI,1.0
yz41hr54,193a1464-fc8a-42ab-8848-e0688af7e0fd,an adventure in the jungle,4.0,3.0,3.0,5.0,4.0,6.0,50,6.0,8.0,4.0,1.0,6.0,2.0,1.0,21,8.0,8.0,100,human_1AI,1.0
4irlisth,e6b1242a-eb53-470a-bf9b-852426fba95b,an adventure on the open seas,2.0,2.0,2.0,5.0,4.0,3.0,50,4.0,4.0,3.0,1.0,2.0,3.0,0.0,0,3.0,8.0,0,human,0.0
jzuhuvhq,828c7ca4-abbc-407e-8afc-75d188bb2454,an adventure in the jungle,1.0,1.0,1.0,3.0,1.0,1.0,50,2.0,4.0,9.0,1.0,1.0,4.0,1.0,60,3.0,1.0,0,human_1AI,1.0
ifzlxhza,dabe869d-79d8-4c82-9350-5e4ebd0806c7,an adventure in the jungle,1.0,1.0,1.0,6.0,4.0,2.0,50,2.0,5.0,3.0,2.0,6.0,1.0,0.0,15,8.0,8.0,0,human,0.0
42q7fku0,071b8067-56fe-44c0-89db-6fb7db2783ee,an adventure in the jungle,1.0,1.0,1.0,1.0,1.0,1.0,50,4.0,2.0,6.0,1.0,1.0,1.0,1.0,0,7.0,8.0,100,human_1AI,1.0
o5kyrio3,74212755-8bb3-4753-97cc-2c5d79bc918a,an adventure in the jungle,1.0,1.0,1.0,4.0,2.0,3.0,50,2.0,1.0,8.0,1.0,1.0,3.0,0.0,98,1.0,1.0,0,human_1AI,0.0
h5s29531,e539e79a-2027-40ee-b4fa-41e801a9aaf6,an adventure on the open seas,3.0,3.0,1.0,3.0,1.0,1.0,50,2.0,3.0,8.0,1.0,1.0,1.0,0.0,45,5.0,5.0,0,human,0.0
lj69qgay,34bf225b-43e6-4cfb-8844-d52419dc4906,an adventure on the open seas,4.0,4.0,3.0,6.0,6.0,6.0,50,7.0,7.0,4.0,1.0,2.0,2.0,1.0,60,6.0,7.0,34,human_5AI,1.0
6btyba7j,fb6ed7ee-5158-4c2f-a222-15cedcda0718,an adventure in the jungle,8.0,6.0,6.0,5.0,8.0,8.0,50,6.0,7.0,1.0,2.0,6.0,1.0,1.0,25,6.0,6.0,75,human_5AI,1.0
tedkq461,173c7706-0e61-4620-9a0e-3df8bbfa845c,an adventure on the open seas,6.0,5.0,6.0,8.0,8.0,7.0,50,7.0,7.0,2.0,1.0,5.0,7.0,0.0,10,9.0,9.0,0,human,0.0
zhigv92y,971f10d3-df07-40be-903a-6294cf6fefb0,an adventure in the jungle,7.0,7.0,5.0,7.0,7.0,6.0,50,5.0,7.0,3.0,6.0,7.0,6.0,1.0,26,3.0,3.0,23,human_5AI,1.0
57c3e15t,1ae992b9-d676-4051-b939-19635ea24c24,an adventure on the open seas,3.0,3.0,2.0,6.0,7.0,6.0,50,7.0,6.0,3.0,2.0,3.0,2.0,0.0,50,8.0,9.0,0,human_1AI,0.0
1vbfy2yl,997db0f8-af39-4881-b5b2-1aa64dd16030,an adventure on a different planet,8.0,6.0,4.0,8.0,7.0,8.0,50,9.0,8.0,1.0,4.0,2.0,2.0,0.0,25,6.0,8.0,0,human,0.0
33st0bp0,5587d7fa-61be-4e15-8227-f08cf8dd0e38,an adventure in the jungle,6.0,7.0,7.0,8.0,5.0,3.0,50,6.0,7.0,2.0,2.0,7.0,6.0,0.0,90,8.0,9.0,0,human,0.0
dz8p83gy,7ced0bf8-d2f9-4827-8b0b-d09f5bf47585,an adventure in the jungle,2.0,1.0,1.0,4.0,2.0,1.0,50,3.0,4.0,7.0,1.0,2.0,2.0,0.0,100,3.0,5.0,0,human,0.0
ao7kdx1e,f48acf07-0c7a-464e-b42d-7c477cb24782,an adventure on the open seas,5.0,3.0,8.0,8.0,3.0,2.0,50,1.0,1.0,6.0,1.0,8.0,6.0,1.0,88,7.0,5.0,76,human_1AI,0.0
rtcyhbaf,d66d4109-fa0d-437d-9c8e-c69759aaf368,an adventure in the jungle,2.0,6.0,2.0,7.0,3.0,2.0,50,6.0,2.0,8.0,1.0,1.0,1.0,2.0,100,6.0,6.0,74,human_1AI,0.0
zleboiun,0a711253-bdc8-4020-ae33-b658d33292ff,an adventure on the open seas,2.0,2.0,2.0,4.0,4.0,5.0,50,1.0,3.0,7.0,1.0,1.0,5.0,1.0,85,8.0,8.0,100,human_1AI,1.0
jvgd5aij,b2065525-b7fc-4364-b3aa-4e30d2d0dba5,an adventure on a different planet,6.0,6.0,5.0,7.0,7.0,6.0,50,6.0,6.0,5.0,2.0,3.0,4.0,1.0,5,4.0,3.0,33,human_5AI,1.0
w0o7j95h,3b7cb450-be71-43a3-bf3e-c882572369ec,an adventure on the open seas,1.0,1.0,1.0,7.0,8.0,8.0,50,8.0,8.0,1.0,1.0,1.0,1.0,0.0,4,9.0,9.0,0,human,0.0
y1yu5m3w,883982ae-c0f6-4795-9421-aa2768ea16e6,an adventure on a different planet,6.0,6.0,4.0,6.0,3.0,4.0,50,4.0,2.0,7.0,1.0,1.0,1.0,0.0,41,6.0,7.0,0,human_1AI,0.0
8hu51lvv,10949004-b7ca-429d-b84e-0ed16b0cb888,an adventure on the open seas,6.0,6.0,5.0,8.0,6.0,4.0,50,5.0,4.0,7.0,2.0,7.0,2.0,0.0,33,7.0,8.0,0,human_5AI,0.0
2c79vpxk,fd55005f-2307-48da-950c-1de503579209,an adventure in the jungle,4.0,3.0,2.0,5.0,6.0,5.0,50,2.0,3.0,4.0,3.0,2.0,2.0,0.0,50,3.0,3.0,0,human,0.0
v8xbm6q3,31384ef4-687b-40e9-b2b4-7d351e7a741d,an adventure on a different planet,8.0,7.0,6.0,7.0,6.0,6.0,50,7.0,6.0,3.0,1.0,2.0,6.0,0.0,90,9.0,9.0,0,human,0.0
0rp4cj83,b299254c-cd49-4610-806d-4b53512d3e92,an adventure in the jungle,5.0,5.0,4.0,9.0,8.0,9.0,50,9.0,7.0,1.0,1.0,7.0,2.0,1.0,25,9.0,9.0,99,human_5AI,1.0
mlqijmsj,e2e71da9-b9ae-4988-a96b-ec2cb9b0382d,an adventure in the jungle,7.0,7.0,6.0,9.0,9.0,9.0,50,9.0,8.0,3.0,2.0,2.0,7.0,1.0,25,7.0,7.0,80,human_5AI,1.0
x8ysqm6o,6de29543-7e86-4aee-b61e-3bbdf75cfacd,an adventure on the open seas,7.0,8.0,2.0,8.0,9.0,9.0,50,6.0,7.0,2.0,1.0,5.0,5.0,0.0,0,8.0,9.0,0,human,0.0
hhv5dzw0,639243a3-70f1-493c-a3d6-238c924d4dc6,an adventure on a different planet,2.0,4.0,6.0,7.0,4.0,5.0,50,5.0,3.0,2.0,1.0,7.0,6.0,1.0,57,6.0,7.0,65,human_1AI,1.0
fytkccmb,57008fac-491d-4959-8638-d0669621e0a7,an adventure on a different planet,3.0,1.0,1.0,1.0,4.0,4.0,50,4.0,4.0,4.0,1.0,1.0,2.0,1.0,50,1.0,1.0,10,human_5AI,1.0
p4mp2588,6dfded63-c919-4995-8852-4d39eef00249,an adventure on a different planet,7.0,3.0,2.0,6.0,6.0,7.0,50,6.0,6.0,3.0,1.0,3.0,2.0,1.0,73,8.0,3.0,41,human_5AI,1.0
bquw887u,1037d4e2-3036-469d-89fc-b7d7baf79b29,an adventure on a different planet,6.0,5.0,5.0,7.0,6.0,6.0,50,7.0,7.0,4.0,2.0,6.0,3.0,1.0,50,7.0,7.0,60,human_1AI,1.0
9y1t7at9,a9b571c0-8177-4b93-bc0a-8dc5e48b66c5,an adventure on the open seas,3.0,3.0,3.0,8.0,5.0,4.0,50,5.0,8.0,6.0,1.0,3.0,1.0,1.0,60,5.0,6.0,75,human_1AI,1.0
wntxzky3,cdfdbcd2-e24f-4833-b950-18330c544d55,an adventure on the open seas,3.0,3.0,2.0,7.0,4.0,4.0,50,4.0,2.0,4.0,2.0,3.0,3.0,1.0,74,2.0,2.0,21,human_5AI,1.0
j5hcbbpa,bf2e339f-0e64-466f-91ca-e9f1b26935d2,an adventure on the open seas,4.0,4.0,5.0,5.0,3.0,3.0,50,5.0,2.0,5.0,6.0,5.0,4.0,0.0,13,6.0,6.0,0,human,0.0
p3a58ss3,84184ee1-7a24-4886-aaf7-420b19187f40,an adventure in the jungle,5.0,3.0,1.0,5.0,5.0,5.0,50,5.0,5.0,3.0,1.0,3.0,1.0,0.0,0,9.0,9.0,0,human,0.0
c1rkae0v,35d478bf-e51f-4026-b27e-fcba99c5b541,an adventure on a different planet,1.0,4.0,2.0,2.0,3.0,2.0,50,1.0,2.0,9.0,1.0,2.0,4.0,2.0,8,4.0,2.0,14,human_1AI,0.0
jhi7ws25,45a6c2ee-e4d1-4de4-97ae-68358cd61b78,an adventure on a different planet,5.0,5.0,5.0,8.0,7.0,6.0,50,5.0,2.0,4.0,3.0,1.0,2.0,2.0,100,1.0,1.0,10,human_1AI,0.0
gtt020ad,db6630b5-29db-4042-b79f-beb5e5dc81d1,an adventure on a different planet,6.0,6.0,4.0,5.0,5.0,3.0,50,8.0,6.0,5.0,2.0,6.0,2.0,1.0,50,7.0,7.0,10,human_5AI,1.0
j19tw9k7,e29b0a28-2897-450e-b920-fcd41084a12a,an adventure on a different planet,5.0,4.0,5.0,9.0,9.0,8.0,50,5.0,7.0,2.0,1.0,1.0,6.0,1.0,80,7.0,8.0,85,human_1AI,1.0
14c51hik,5b7a516e-a054-4a70-a679-25ff3c8b9387,an adventure in the jungle,1.0,1.0,1.0,5.0,2.0,2.0,50,3.0,3.0,7.0,1.0,2.0,2.0,0.0,50,5.0,4.0,0,human,0.0
pf8crey7,d31c0464-ccb7-42b6-a968-545ee0ee291d,an adventure in the jungle,6.0,6.0,6.0,5.0,3.0,3.0,50,5.0,5.0,5.0,5.0,8.0,3.0,1.0,80,5.0,5.0,77,human_5AI,1.0
q6prjwst,e602b9cf-3fbb-439d-b029-eb15d83a29df,an adventure in the jungle,7.0,6.0,4.0,8.0,8.0,7.0,50,6.0,8.0,2.0,1.0,3.0,1.0,2.0,4,2.0,2.0,25,human_1AI,0.0
cbi6huai,1bd16c85-78a6-4905-a0b8-23baa64e70bd,an adventure on a different planet,2.0,2.0,2.0,3.0,1.0,1.0,50,4.0,3.0,7.0,1.0,2.0,5.0,1.0,85,3.0,3.0,50,human_5AI,1.0
wsj73w31,0c4b080a-4850-42f3-99fe-a8b386bc318e,an adventure on a different planet,5.0,4.0,3.0,6.0,6.0,7.0,50,6.0,7.0,3.0,2.0,3.0,5.0,0.0,26,7.0,9.0,0,human,0.0
zryt4kkk,d485db37-7c80-485a-a99a-a6cbcaa8e5b5,an adventure on the open seas,5.0,6.0,7.0,5.0,4.0,5.0,50,4.0,3.0,4.0,6.0,6.0,5.0,1.0,52,4.0,6.0,65,human_1AI,1.0
xv713c8k,5eb93cb5-db0b-4d09-9a59-2029f2753e1e,an adventure on the open seas,4.0,4.0,3.0,7.0,7.0,7.0,50,5.0,3.0,4.0,1.0,2.0,3.0,1.0,81,8.0,6.0,10,human_5AI,1.0
ag8a25ue,d9d1d62f-cbfa-473d-884f-e9cda653ce4a,an adventure on the open seas,6.0,6.0,5.0,5.0,6.0,7.0,50,6.0,5.0,3.0,5.0,4.0,5.0,1.0,50,5.0,5.0,51,human_5AI,1.0
zqexm4vg,99ef06e6-7930-4121-918d-b64c0dc4e885,an adventure on a different planet,3.0,2.0,2.0,6.0,6.0,6.0,50,7.0,4.0,2.0,5.0,6.0,5.0,1.0,92,2.0,2.0,81,human_1AI,1.0
wt60zu37,559cb1e5-020d-49d8-a63a-c090d7efcf68,an adventure on the open seas,3.0,3.0,2.0,5.0,1.0,2.0,50,2.0,2.0,3.0,1.0,3.0,1.0,0.0,80,8.0,9.0,0,human,0.0
0bl4lrzw,a0e28bd7-e88a-44aa-b199-1e496a4f4cca,an adventure on a different planet,4.0,4.0,3.0,8.0,7.0,6.0,50,5.0,7.0,3.0,2.0,5.0,3.0,1.0,89,3.0,5.0,50,human_1AI,1.0
4dxqzy7a,bdc1978a-7332-4c6f-bef3-1ba0c715f5e8,an adventure on a different planet,3.0,3.0,5.0,7.0,2.0,2.0,50,2.0,2.0,8.0,1.0,2.0,5.0,1.0,9,3.0,8.0,100,human_5AI,1.0
g2hhjutv,e2c83117-b1bb-47f1-9a49-1fdcfe06ae22,an adventure on the open seas,7.0,5.0,5.0,5.0,7.0,7.0,50,7.0,8.0,3.0,1.0,1.0,7.0,2.0,79,2.0,2.0,23,human_5AI,0.0
5u648u6u,2d6ece38-3984-441a-88dc-c31f16d8567b,an adventure in the jungle,7.0,6.0,6.0,7.0,6.0,8.0,50,7.0,7.0,2.0,3.0,5.0,5.0,1.0,24,7.0,6.0,25,human_1AI,1.0
p64i7kir,0958da06-33d6-4f3b-851b-fa9fddffde82,an adventure on the open seas,1.0,1.0,1.0,7.0,1.0,1.0,50,2.0,1.0,8.0,1.0,1.0,1.0,1.0,73,6.0,4.0,50,human_5AI,1.0
xrldivmz,f4d8edd5-9e4e-4273-878d-db2c27550afa,an adventure on the open seas,1.0,1.0,1.0,5.0,2.0,1.0,50,3.0,3.0,7.0,1.0,1.0,1.0,1.0,50,7.0,9.0,100,human_5AI,1.0
o58gjd3b,3d2c8b8e-a782-4b21-979f-43ca387d98ce,an adventure on the open seas,7.0,6.0,6.0,9.0,8.0,8.0,50,8.0,9.0,2.0,1.0,7.0,2.0,0.0,20,9.0,9.0,0,human,0.0
q42qc6xj,f48acf07-0c7a-464e-b42d-7c477cb24782,an adventure on the open seas,2.0,4.0,3.0,3.0,3.0,2.0,50,2.0,4.0,7.0,3.0,4.0,2.0,1.0,15,3.0,4.0,66,human_1AI,0.0
qmfhem8e,f7886106-14d7-4b51-bf73-7d011654222f,an adventure on the open seas,1.0,1.0,1.0,8.0,8.0,2.0,50,4.0,5.0,4.0,3.0,1.0,1.0,1.0,0,1.0,1.0,100,human_5AI,1.0
ak3ij8nl,b19f58c5-a51e-4e0f-b5fd-0262486011ae,an adventure on a different planet,3.0,2.0,2.0,7.0,3.0,2.0,50,3.0,4.0,8.0,2.0,2.0,2.0,1.0,74,5.0,4.0,51,human_5AI,1.0
1iq3q7yx,3a502b29-e6f1-4e4a-aba2-b83bff58887a,an adventure on the open seas,4.0,4.0,4.0,3.0,6.0,6.0,50,6.0,9.0,4.0,1.0,2.0,1.0,0.0,4,9.0,9.0,0,human,0.0
7makqzht,041b6010-3f4a-4658-a428-5ebfdcce67b1,an adventure in the jungle,2.0,2.0,2.0,8.0,7.0,3.0,50,6.0,4.0,3.0,1.0,2.0,1.0,1.0,25,4.0,3.0,92,human_1AI,1.0
7xw72zqi,883982ae-c0f6-4795-9421-aa2768ea16e6,an adventure on a different planet,5.0,5.0,5.0,4.0,2.0,2.0,50,2.0,5.0,8.0,1.0,1.0,1.0,0.0,44,7.0,7.0,0,human_1AI,0.0
cc105giv,bd71b316-74a6-467c-abe6-cf0ae664ee76,an adventure on the open seas,3.0,3.0,4.0,4.0,5.0,5.0,50,4.0,6.0,6.0,2.0,7.0,3.0,0.0,15,8.0,9.0,0,human,0.0
qkawlsqk,dabe869d-79d8-4c82-9350-5e4ebd0806c7,an adventure in the jungle,4.0,4.0,3.0,7.0,5.0,5.0,50,6.0,8.0,4.0,2.0,2.0,2.0,0.0,10,7.0,8.0,0,human,0.0
jeqcjh3f,722c95e5-f767-4697-8858-fdfbecdc70b0,an adventure on a different planet,6.0,6.0,5.0,4.0,4.0,5.0,50,6.0,7.0,5.0,6.0,4.0,5.0,0.0,69,8.0,8.0,0,human,0.0
cq1m6y90,a75ba6ab-43b0-46f0-abee-5bb07d5eb7e0,an adventure on the open seas,3.0,2.0,2.0,6.0,1.0,1.0,50,3.0,5.0,2.0,1.0,4.0,3.0,0.0,100,5.0,5.0,0,human_5AI,0.0
nakh8mh5,6e77a200-7836-4282-8447-30e9f4e8cfb7,an adventure on the open seas,6.0,6.0,6.0,6.0,6.0,7.0,50,6.0,6.0,3.0,3.0,3.0,1.0,1.0,50,3.0,4.0,75,human_5AI,1.0
yhvo59cr,e539e79a-2027-40ee-b4fa-41e801a9aaf6,an adventure on the open seas,3.0,3.0,3.0,5.0,2.0,2.0,50,5.0,3.0,3.0,2.0,4.0,3.0,0.0,70,4.0,4.0,0,human,0.0
y2mtnagi,7c78f2c1-13b9-4b57-ae49-0bbef1df7a08,an adventure on the open seas,1.0,1.0,1.0,5.0,4.0,3.0,50,5.0,1.0,4.0,1.0,1.0,1.0,0.0,20,8.0,9.0,0,human,0.0
tqd9mpdh,31384ef4-687b-40e9-b2b4-7d351e7a741d,an adventure on a different planet,7.0,8.0,6.0,8.0,8.0,8.0,50,9.0,8.0,1.0,3.0,2.0,7.0,0.0,17,9.0,9.0,0,human,0.0
k3koncsz,071b8067-56fe-44c0-89db-6fb7db2783ee,an adventure in the jungle,2.0,1.0,1.0,4.0,3.0,3.0,50,3.0,2.0,5.0,2.0,2.0,3.0,1.0,15,2.0,3.0,20,human_1AI,1.0
bu4hghti,1cf347a7-0df2-4ccd-a041-2d19d62fd7e2,an adventure on the open seas,2.0,2.0,1.0,5.0,4.0,3.0,50,3.0,6.0,4.0,1.0,2.0,1.0,0.0,37,9.0,9.0,0,human,0.0
